event_unique_id,division,occurrencedate,reporteddate,premisetype,occurrencehour,mci_category,neighbourhood
GO-2022345253,D42,2022-02-17 5:00,2022-02-22 5:00,Educational,11,Sexual Violation,LAmoreaux
GO-2022345273,D22,2022-02-22 5:00,2022-02-22 5:00,Other,14,Assault,Mimico includes Humber Bay Shores
GO-2022345450,D13,2021-11-01 5:00,2022-02-22 5:00,House,0,Assault,Oakwood Village
GO-2022345613,D33,2022-02-22 5:00,2022-02-22 5:00,Outside,14,Assault,Bayview Village
GO-2022345614,D54,2022-02-22 5:00,2022-02-22 5:00,Apartment,15,Assault,Taylor-Massey
GO-2022345901,D32,2021-11-29 5:00,2022-02-22 5:00,Apartment,20,Sexual Violation,Newtonbrook East
GO-2022345921,D42,2017-01-01 5:00,2022-02-22 5:00,Apartment,0,Sexual Violation,Steeles
GO-2022345968,D11,2022-02-22 5:00,2022-02-22 5:00,Commercial,16,Robbery,Roncesvalles
GO-202234601,D55,2022-01-06 5:00,2022-01-06 5:00,Outside,13,Assault,Greenwood-Coxwell
GO-2022346186,D31,2022-02-22 5:00,2022-02-22 5:00,House,16,Assault,Black Creek
GO-2022346222,D52,2022-02-22 5:00,2022-02-22 5:00,Commercial,17,Break and Enter,Waterfront Communities-The Island
GO-2022346327,D51,2019-01-01 5:00,2022-02-22 5:00,Apartment,0,Assault,North St.James Town
GO-2022346362,D52,2022-02-22 5:00,2022-02-22 5:00,Commercial,3,Assault,Waterfront Communities-The Island
GO-2022346383,D41,2021-05-25 5:00,2022-02-22 5:00,Commercial,10,Assault,Clairlea-Birchmount
GO-2022346466,D43,2022-02-13 5:00,2022-02-22 5:00,House,3,Sexual Violation,Scarborough Village
GO-2022346518,D33,2022-02-22 5:00,2022-02-22 5:00,Outside,18,Assault,Bayview Village
GO-2022346564,D43,2022-02-21 5:00,2022-02-22 5:00,Commercial,7,Break and Enter,Rouge
GO-2022346720,D32,2022-02-22 5:00,2022-02-23 5:00,House,17,Break and Enter,Newtonbrook East
GO-2022346845,D51,2022-02-22 5:00,2022-02-22 5:00,Commercial,4,Break and Enter,Cabbagetown-South St.James Town
GO-2022348012,D31,2022-02-22 5:00,2022-02-22 5:00,Commercial,22,Robbery,Black Creek
GO-2022348030,D52,2022-02-22 5:00,2022-02-22 5:00,Apartment,23,Break and Enter,Waterfront Communities-The Island
GO-2022348043,D43,2022-02-21 5:00,2022-02-22 5:00,Outside,16,Assault,Guildwood
GO-2022348087,D51,2022-02-22 5:00,2022-02-22 5:00,Apartment,23,Assault,Church-Yonge Corridor
